,erg,nr,ne,npc
chr1:100111600-100112114,0.570680628272251,0.214814814814815,0.665441176470588,0.559090909090909
chr1:100140387-100140593,0.546583850931677,0.221428571428571,0.497005988023952,0.733333333333333
chr1:100187193-100187343,0.934010152284264,0.95,0.932835820895522,0.932203389830508
chr1:100187444-100187500,0.961538461538462,0.949579831932773,0.945054945054945,0.984126984126984
chr1:100204338-100204532,0.936936936936937,0.722772277227723,0.932692307692308,0.922077922077922
chr1:100218975-100219284,0.82934131736527,0.742063492063492,0.822006472491909,0.951612903225806
chr1:100278986-100279063,0.916967509025271,0.950920245398773,0.943894389438944,0.947761194029851
chr1:100279138-100279362,0.926470588235294,0.932203389830508,0.91324200913242,0.973684210526316
chr1:10028192-10028421,0.891238670694864,0.897233201581028,0.851508120649652,0.940298507462687
chr1:100322471-100322569,0.963934426229508,0.951807228915663,0.969387755102041,0.954545454545455
chr1:100322696-100322826,0.905660377358491,0.91588785046729,0.893827160493827,0.827586206896552
chr1:100340251-100340453,0.964285714285714,0.906103286384977,0.956521739130435,0.8125
chr1:1009547-1009741,0.9152,0.857142857142857,0.933224755700326,0.957894736842105
chr1:1009822-1010010,0.745614035087719,0.428571428571429,0.78,0.805555555555556
chr1:1011778-1011838,0.71875,0.25,0.682926829268293,1
chr1:101187114-101187385,0.877272727272727,0.44758064516129,0.940886699507389,0.925925925925926
chr1:101223012-101223200,0.934343434343434,0.8984375,0.950354609929078,0.983870967741935
chr1:101260279-101260450,0.736263736263736,0.609271523178808,0.673469387755102,0.740740740740741
chr1:1012951-1013396,0.455128205128205,0.647058823529412,0.446540880503145,0.869565217391304
chr1:1014176-1014446,0.471910112359551,0.333333333333333,0.427350427350427,0.821428571428571
chr1:101535929-101536217,0.812834224598931,0.410958904109589,0.814634146341463,0.924242424242424
chr1:101749589-101749714,0.618932038834951,0.120567375886525,0.686170212765957,0.657142857142857
chr1:10231208-10231381,0.928934010152284,0.594982078853047,0.944289693593315,0.952631578947368
chr1:102440563-102441015,0.65,0.784210526315789,0.9,0.736842105263158
chr1:102731770-102731955,0.918918918918919,0.900552486187845,0.888888888888889,0.981818181818182
chr1:102762265-102762500,0.607142857142857,0.485507246376812,0.537037037037037,0.486486486486487
chr1:102763625-102763841,0.788732394366197,0.681818181818182,0.787234042553192,0.851851851851852
chr1:102923088-102923201,0.673913043478261,0.697368421052632,0.763636363636364,0.6
chr1:10355623-10355817,0.737642585551331,0.202127659574468,0.699275362318841,0.319148936170213
chr1:104508194-104508343,0.683673469387755,0.217948717948718,0.535911602209945,0.807017543859649
chr1:104568732-104568944,1,0.791666666666667,0.888888888888889,0.916666666666667
chr1:104806555-104806695,0.917355371900826,0.910714285714286,0.946843853820598,0.935897435897436
chr1:104874675-104874787,0.868421052631579,0.802631578947368,0.861111111111111,1
chr1:104939766-104939988,0.965116279069767,0.888888888888889,0.958333333333333,0.972972972972973
chr1:105031778-105031845,0.692307692307692,0.688,0.75,0.765432098765432
chr1:105188409-105188541,0.836538461538462,0.878048780487805,0.839160839160839,0.9
chr1:105188618-105188672,0.947368421052632,0.974358974358974,0.94578313253012,0.972972972972973
chr1:105229734-105229907,0.934210526315789,0.939024390243902,0.947004608294931,0.986486486486487
chr1:105512377-105512453,0.821561338289963,0.804733727810651,0.828859060402685,0.869047619047619
chr1:105512551-105512707,0.891472868217054,0.910714285714286,0.869565217391304,0.926829268292683
chr1:10561386-10561843,0.885660731021556,0.852579852579853,0.873073436083409,0.971590909090909
chr1:105638680-105639088,0.838274932614555,0.882736156351791,0.870689655172414,0.982456140350877
chr1:105886817-105886980,0.914893617021277,0.92156862745098,0.939024390243902,1
chr1:105962652-105963059,0.927038626609442,0.683870967741935,0.909836065573771,0.767857142857143
chr1:106012430-106012674,0.914373088685015,0.915966386554622,0.905781584582441,0.974358974358974
chr1:106113179-106113310,0.943775100401606,0.96,0.965909090909091,0.974025974025974
chr1:106122891-106123079,0.839416058394161,0.877551020408163,0.827586206896552,1
chr1:106137266-106137540,0.897654584221748,0.906593406593407,0.870182555780933,0.974358974358974
chr1:106138694-106138795,0.858108108108108,0.901960784313726,0.903954802259887,0.941176470588235
chr1:106141109-106141922,0.474576271186441,0.595238095238095,0.486842105263158,0.967213114754098
chr1:106157086-106157297,0.952908587257618,0.907488986784141,0.956896551724138,0.971014492753623
chr1:106302977-106303165,1,0.59349593495935,0.947368421052632,0.971428571428571
chr1:1064440-1064651,0.924528301886792,0.9375,0.919093851132686,0.903846153846154
chr1:106534535-106534858,0.588235294117647,0.461538461538462,0.5,0.7
chr1:106916482-106916652,0.9375,0.88135593220339,0.920454545454545,0.982142857142857
chr1:1069195-1069661,0.868592057761733,0.866666666666667,0.860255447032306,0.894039735099338
chr1:10702141-10702372,0.815159574468085,0.297297297297297,0.913140311804009,0.716981132075472
chr1:107179225-107179363,0.859649122807018,0.839622641509434,0.855123674911661,0.85
chr1:10727958-10728706,0.630712979890311,0.253405994550409,0.666868198307134,0.538461538461538
chr1:10731355-10731538,0.954415954415954,0.895,0.927960927960928,0.957081545064378
chr1:10731776-10731842,0.942922374429224,0.813559322033898,0.912408759124088,0.963414634146341
chr1:10734870-10735040,0.870689655172414,0.9,0.88936170212766,0.891304347826087
chr1:10735135-10735289,0.95067264573991,0.842696629213483,0.928571428571429,0.888
chr1:10737771-10738569,0.663306451612903,0.3125,0.661454792658056,0.767361111111111
chr1:107493888-107494058,0.927400468384075,0.89344262295082,0.920212765957447,0.927927927927928
chr1:10767172-10767645,0.655864197530864,0.212962962962963,0.74914089347079,0.480225988700565
chr1:10769580-10770126,0.621408450704225,0.302564102564103,0.65526145900581,0.728476821192053
chr1:10776939-10777409,0.610800744878957,0.226495726495726,0.649667405764967,0.492857142857143
chr1:10781857-10781963,0.512328767123288,0.171428571428571,0.449856733524355,0.63768115942029
chr1:10788367-10788555,0.925558312655087,0.597938144329897,0.927325581395349,0.826086956521739
chr1:107886206-107886561,0.623809523809524,0.328671328671329,0.651685393258427,0.141304347826087
chr1:10789126-10789447,0.466867469879518,0.182926829268293,0.62043795620438,0.404255319148936
chr1:10794824-10795553,0.394088669950739,0.134259259259259,0.532620320855615,0.548387096774194
